# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     7.100        96         0     620857937
     4.700         0         1     621112318
     3.500         0         3     620984097
     4.300         7         1     622450873
     3.500         1         0     622450886
     3.400         1         0     622450890
     3.000         1         0     622450943
     5.200         3         1     620878560
     4.500         0         1     622450958
     4.500         1         0     620882983
     3.700         1         0     620984135
     5.600         2         0     620883706
     4.400         1         1     620912098
     4.500         1         0     620883722
     4.200         0         1     622451063
     5.200         0         1     620923870
     3.200         1         0     622451090
     3.300         0         1     620986122
     3.200         1         0     622451180
     3.500         0         1     622451243
     3.500         1         1     620998778
     3.500         0         1     620998832
     4.600         3         0     620980018
     6.300         8         0     620986702
     4.300         1         0     621039147
     4.500         0         1     622451833
     5.500         2         0     621080781
     3.100         0         0     622450815
     3.900         0         0     620984059
     3.500         0         0     620984064
     3.200         0         0     622450848
     3.900         0         0     622450850
     3.800         0         0     620984071
     3.000         0         0     622450872
     3.200         0         0     622450878
     3.100         0         0     622450879
     3.600         0         0     622450880
     3.700         0         0     620984087
     3.300         0         0     622450881
     3.300         0         0     620984090
     3.100         0         0     622450888
     4.500         0         0     620859564
     3.500         0         0     620984098
     3.100         0         0     622450895
     3.300         0         0     622450901
     3.100         0         0     622450911
     3.600         0         0     620984106
     4.200         0         0     620984108
     4.500         0         0     620878552
     3.500         0         0     620984110
     4.300         0         0     620968018
     4.800         0         0     620878556
     4.200         0         0     620984115
     3.600         0         0     620984116
     3.400         0         0     620984117
     3.400         0         0     620984120
     3.600         0         0     620984121
     3.200         0         0     620984122
     3.100         0         0     622450927
     3.100         0         0     622450933
     3.300         0         0     622450934
     3.200         0         0     622450937
     3.100         0         0     622450940
     3.600         0         0     622450942
     3.300         0         0     622450944
     3.200         0         0     622450953
     3.500         0         0     620984127
     3.500         0         0     622450956
     3.100         0         0     622450957
     3.100         0         0     622450960
     3.300         0         0     622450964
     3.100         0         0     622450967
     3.300         0         0     622450968
     3.400         0         0     620984136
     3.200         0         0     622450980
     3.000         0         0     622450983
     4.700         0         0     620882991
     3.100         0         0     620984139
     4.200         0         0     620984140
     3.200         0         0     622450988
     4.300         0         0     620984148
     3.200         0         0     622450999
     3.300         0         0     622451000
     4.500         0         0     620968029
     3.200         0         0     622451009
     4.400         0         0     620986036
     3.200         0         0     622451016
     4.700         0         0     622451026
     4.300         0         0     620968033
     4.000         0         0     620986042
     4.000         0         0     620968032
     4.800         0         0     622451034
     4.000         0         0     620986048
     3.500         0         0     622451037
     3.200         0         0     622451039
     3.100         0         0     622451045
     3.100         0         0     622451046
     3.100         0         0     622451055
     4.300         0         0     620913668
     3.000         0         0     622451061
     3.100         0         0     622451066
     4.200         0         0     620968042
     3.600         0         0     620986073
     3.100         0         0     622451075
     3.900         0         0     620968039
     4.300         0         0     620968036
     3.000         0         0     622451080
     3.400         0         0     622451083
     3.800         0         0     620986100
     3.500         0         0     620986101
     3.700         0         0     622451087
     3.900         0         0     620968063
     3.500         0         0     620986108
     3.300         0         0     620986109
     3.000         0         0     622451089
     3.000         0         0     622451096
     3.200         0         0     622451109
     4.200         0         0     620968052
     4.200         0         0     620925357
     4.900         0         0     622451112
     4.500         0         0     622451117
     3.000         0         0     622451120
     3.200         0         0     622451121
     3.300         0         0     622451127
     3.100         0         0     622451131
     3.100         0         0     622451132
     3.000         0         0     622451134
     3.400         0         0     622451136
     4.600         0         0     620925424
     4.000         0         0     620986197
     3.500         0         0     620986208
     3.000         0         0     622451145
     3.900         0         0     620986217
     4.600         0         0     620925706
     3.000         0         0     622451153
     3.600         0         0     622451155
     3.300         0         0     622451159
     3.400         0         0     622451179
     3.100         0         0     622451183
     3.000         0         0     622451187
     3.300         0         0     620993228
     3.000         0         0     620993232
     4.400         0         0     620993270
     3.300         0         0     622451200
     3.600         0         0     620930503
     3.300         0         0     622451212
     3.300         0         0     622451216
     3.600         0         0     620995906
     3.900         0         0     620995919
     3.100         0         0     622451221
     4.200         0         0     620997279
     3.000         0         0     622451229
     3.100         0         0     622451237
     3.500         0         0     622451245
     3.200         0         0     622451251
     3.200         0         0     620998779
     3.100         0         0     622451267
     3.800         0         0     620998789
     3.000         0         0     622451276
     3.000         0         0     622451281
     4.600         0         0     620970691
     3.200         0         0     620998828
     3.300         0         0     622451306
     3.300         0         0     622451313
     3.100         0         0     622451314
     3.300         0         0     621000700
     3.100         0         0     622451331
     3.000         0         0     622451349
     3.400         0         0     622451351
     4.000         0         0     620976456
     3.000         0         0     622451359
     3.600         0         0     621007230
     4.100         0         0     621007244
     3.000         0         0     622451368
     4.100         0         0     621007262
     3.400         0         0     622451372
     3.400         0         0     622451373
     3.700         0         0     621008095
     3.000         0         0     622451381
     3.300         0         0     622451382
     3.500         0         0     622451387
     3.500         0         0     622451390
     3.200         0         0     622451395
     3.100         0         0     622451410
     3.000         0         0     622451417
     3.100         0         0     622451418
     4.600         0         0     620983524
     3.200         0         0     622451423
     3.000         0         0     622451433
     3.600         0         0     622451438
     3.000         0         0     622451442
     3.100         0         0     622451449
     3.700         0         0     621012188
     3.000         0         0     622451482
     3.400         0         0     621013515
     3.600         0         0     621013517
     3.200         0         0     622451497
     3.400         0         0     621013532
     4.600         0         0     621013541
     3.000         0         0     622451505
     3.000         0         0     622451517
     3.100         0         0     622451518
     3.100         0         0     622451522
     3.200         0         0     622451526
     3.400         0         0     621030119
     3.500         0         0     622451534
     3.400         0         0     622451539
     4.500         0         0     620989844
     3.400         0         0     622451549
     3.000         0         0     622451556
     3.000         0         0     622451558
     3.000         0         0     622451565
     3.500         0         0     621030293
     3.800         0         0     621030302
     3.600         0         0     621030407
     3.500         0         0     621030412
     3.100         0         0     622451602
     3.300         0         0     621039190
     3.000         0         0     622451612
     3.500         0         0     622451634
     3.900         0         0     621042967
     3.400         0         0     621042978
     3.200         0         0     622451663
     3.200         0         0     622451672
     3.000         0         0     622451678
     3.100         0         0     622451691
     3.200         0         0     622451696
     4.900         0         0     621003201
     3.000         0         0     622451699
     3.000         0         0     622451727
     3.600         0         0     621072139
     3.400         0         0     621072173
     3.400         0         0     621072190
     3.000         0         0     622451758
     3.500         0         0     622451760
     3.000         0         0     622451766
     3.000         0         0     622451767
     3.100         0         0     622451774
     3.000         0         0     622451800
     4.000         0         0     621071738
     3.600         0         0     621080657
     3.900         0         0     621080685
     3.400         0         0     621081572
     4.300         0         0     621081590
     3.500         0         0     622451881
     3.100         0         0     622451882
     3.000         0         0     622451884
     3.000         0         0     622451888
     3.100         0         0     622451893
     3.800         0         0     621086382
     3.100         0         0     622451924
     3.700         0         0     622451934
     3.300         0         0     622451947
     3.200         0         0     622451950
     3.000         0         0     622451969
     3.100         0         0     622451971
     3.000         0         0     622451974
     3.500         0         0     622451983
     3.400         0         0     622451986
     3.100         0         0     622451993
     3.800         0         0     621108505
     3.400         0         0     622452039
     3.200         0         0     622452061
     3.000         0         0     622452064
     3.200         0         0     622452074
     3.100         0         0     622452091
     3.000         0         0     622452106
     3.200         0         0     622452107
     4.500         0         0     621076726
     3.300         0         0     622452123
     3.300         0         0     622452128
     3.000         0         0     622452135
     3.500         0         0     621112979
     3.200         0         0     622452142
     3.200         0         0     622452160
     4.300         0         0     621113625
     3.100         0         0     622452166
     3.100         0         0     622452168
     3.000         0         0     622452171
     3.000         0         0     622452213
     3.000         0         0     622499402
     3.300         0         0     622499404
     3.100         0         0     621131518
     3.000         0         0     622499435
     3.100         0         0     622499437
     3.000         0         0     622499456
