# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     6.100        26         0        189996
     5.900         4         0        189993
     4.900         3         1        190002
     5.800         1         2        190014
     4.700         1         0        190020
     5.200         0         2        190037
     5.800        11         0        190040
     4.900         5         9        190205
     4.700         0         1        190057
     5.300         5         0        190058
     5.400         1         0        190012
     6.100        18         4        190101
     4.800         1         0        190078
     5.000         8         0        190083
     5.400         7         0        190085
     5.200         1         1        190112
     5.200         4         0        190121
     5.300         7         0        190133
     4.700         1         0        190071
     4.900         4         1        190145
     5.100         3         0        190155
     4.800         0         1        190169
     5.300         1         2        190177
     4.600         0         1        190179
     5.700         1         2        190182
     5.100         8         0        190130
     5.100         5         0        189990
     4.900         0         1        190218
     4.900         0         1        190220
     5.600         1         0        190210
     5.700         5         1        190229
     4.900         2         1        190245
     4.800         0         1        190246
     4.800         0         1        190249
     4.800         1         0        190250
     4.700         1         1        190267
     4.500         1         0        190263
     5.200         3         1        190270
     4.700         2         0        190262
     5.400         6         1        190274
     4.700         1         0        190237
     5.100         9         0        190292
     5.000         3         1        190298
     5.200         1         4        190334
     5.600         2         1        190302
     4.800         1         1        190316
     4.700         1         1        190322
     4.800         1         0        190306
     4.900         3         0        190340
     5.000         1         1        190348
     5.500         2         0        190351
     5.000         1         0        190343
     4.900         1         1        190355
     5.100         1         1        190358
     5.400         4         1        190367
     5.000         3         2        190380
     4.700         0         1        190385
     4.800         1         0        190386
     6.000        10         0        190392
     5.200         0         1        190401
     4.500         2         0        190402
     4.900         1         0        190418
     4.800         3         0        190428
     5.200         2         0        190436
     5.100         2         0        190435
     4.900         2         1        190443
     5.600        10         1        190455
     4.700         6         1        190461
     5.100         1         0        190468
     4.800         1         0        190464
     4.700         1         0        190491
     5.200         1         0        190496
     4.800         1         0        190495
     4.900         0         2        190871
     4.800         0         1        190506
     4.600         1         0        190486
     4.800         0         1        190512
     4.900         0         1        190529
     4.800         1         0        190521
     4.900         0         1        190532
     5.500         1         2        190793
     5.100         7         2        190543
     4.800         1         0        190541
     4.900         1         0        190526
     4.700         0         1        190549
     6.000         4         3        190567
     4.700         3         0        190552
     5.200         2         1        190556
     6.100         0         2        190578
     5.100         5         0        190417
     5.700         3         1        190598
     5.200         3         1        190605
     4.800         2         0        190612
     5.700         3         0        190625
     5.200         2         0        190645
     5.100         5         6        190694
     4.800         1         0        190670
     5.200         1         0        190669
     4.700         1         0        190642
     4.600         0         1        190681
     4.900         0         3        190688
     4.900         1         0        190704
     4.900         0         1        190709
     4.700         1         0        190714
