# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     5.000         1         0        182409
     4.700         0         1        182419
     4.700         0         1        182422
     4.700         0         1        182429
     5.200         3         0        182431
     4.500         1         0        182448
     4.700         1         0        182461
     5.900         6         1        182466
     5.300         1         0        182472
     5.100         0         1        182475
     5.100         3         0        182488
     5.300         5         2        182514
     5.000         1         0        182509
     4.900         1         0        182536
     5.200         0         1        182566
     5.600         2         0        182569
     5.100         1         0        182575
     5.800         2         4        182683
     7.000        65         3        182596
     5.300         2         0        182621
     5.100         1         0        182644
     4.800         1         0        182663
     5.400         0         1        182675
     5.600         3         2        182735
     6.700        19         4        182771
     5.100         1         0        182803
     5.200         0         1        182812
     5.500         1         0        182849
     6.000         2         0        183032
     5.400         1         0        183037
     6.000         1         0        183099
     4.600         0         1        183178
     5.700         1         2        183352
     5.600         1         0        183376
     4.900         1         0        183601
     6.300         1         0        183620
     5.200         0         0        182385
     4.600         0         0        182386
     5.000         0         0        182387
     4.600         0         0        182388
     4.500         0         0        182389
     4.800         0         0        182392
     4.800         0         0        182395
     4.700         0         0        182396
     4.700         0         0        182397
     4.900         0         0        182398
     4.500         0         0        182402
     4.800         0         0        182404
     5.100         0         0        182405
     4.700         0         0        182412
     4.500         0         0        182414
     4.600         0         0        182424
     4.700         0         0        182425
     4.900         0         0        182437
     4.500         0         0        182438
     4.600         0         0        182445
     4.600         0         0        182446
     4.500         0         0        182447
     4.600         0         0        182449
     4.800         0         0        182451
     4.600         0         0        182452
     5.100         0         0        182453
     4.500         0         0        182455
     4.500         0         0        182458
     4.500         0         0        182459
     4.500         0         0        182460
     4.600         0         0        182464
     4.700         0         0        182465
     4.800         0         0        182470
     4.700         0         0        182476
     4.600         0         0        182477
     4.600         0         0        182481
     5.000         0         0        182482
     4.500         0         0        182483
     4.600         0         0        182485
     4.600         0         0        182487
     4.600         0         0        182490
     4.900         0         0        182494
     5.100         0         0        182502
     5.100         0         0        182504
     4.700         0         0        182505
     4.600         0         0        182506
     4.600         0         0        182508
     4.600         0         0        182520
     4.600         0         0        182526
     4.800         0         0        182530
     4.500         0         0        182532
     4.700         0         0        182533
     4.500         0         0        182538
     4.600         0         0        182543
     4.700         0         0        182544
     4.600         0         0        182546
     5.000         0         0        182548
     5.100         0         0        182549
     4.900         0         0        182552
     5.200         0         0        182555
     5.200         0         0        182556
     4.900         0         0        182560
     5.100         0         0        182564
     4.500         0         0        182567
     4.800         0         0        182573
     4.900         0         0        182579
     4.500         0         0        182580
     4.500         0         0        182582
     4.600         0         0        182584
     4.600         0         0        182620
     4.700         0         0        182627
     4.500         0         0        182634
     4.600         0         0        182638
     4.800         0         0        182646
     4.700         0         0        182650
     4.500         0         0        182659
     4.800         0         0        182670
     4.800         0         0        182677
     4.600         0         0        182680
     4.900         0         0        182689
     4.700         0         0        182691
     5.300         0         0        182698
     4.800         0         0        182710
     4.800         0         0        182713
     4.800         0         0        182718
     4.500         0         0        182724
     4.500         0         0        182727
     5.000         0         0        182733
     4.800         0         0        182734
     4.900         0         0        182745
     4.500         0         0        182755
     4.500         0         0        182764
     4.500         0         0        182796
     4.500         0         0        182806
     4.800         0         0        182810
     4.800         0         0        182814
     4.900         0         0        182830
     4.700         0         0        182831
     4.700         0         0        182837
     4.800         0         0        182840
     4.500         0         0        182841
     5.200         0         0        182845
     4.800         0         0        182853
     5.200         0         0        182856
     4.900         0         0        182863
     4.500         0         0        182866
     4.800         0         0        182867
     4.700         0         0        182869
     4.600         0         0        182870
     4.800         0         0        182877
     5.200         0         0        182884
     4.700         0         0        182887
     4.600         0         0        182888
     4.600         0         0        182893
     4.500         0         0        182895
     4.500         0         0        182896
     4.800         0         0        182900
     4.500         0         0        182904
     4.500         0         0        182909
     4.500         0         0        182922
     5.100         0         0        182933
     4.700         0         0        182934
     4.600         0         0        182938
     4.800         0         0        182939
     4.600         0         0        182950
     5.100         0         0        182951
     5.000         0         0        182958
     4.800         0         0        182960
     4.600         0         0        182961
     4.700         0         0        182968
     5.300         0         0        182973
     5.000         0         0        182976
     4.800         0         0        182988
     4.900         0         0        182989
     4.800         0         0        182991
     4.900         0         0        182993
     4.700         0         0        182998
     4.600         0         0        182999
     4.600         0         0        183001
     4.500         0         0        183011
     5.200         0         0        183022
     4.600         0         0        183023
     4.600         0         0        183031
     4.800         0         0        183035
     4.600         0         0        183044
     4.600         0         0        183045
     4.800         0         0        183048
     4.700         0         0        183050
     4.600         0         0        183056
     4.600         0         0        183068
     5.100         0         0        183074
     5.100         0         0        183083
     4.800         0         0        183092
     4.600         0         0        183093
     4.800         0         0        183095
     4.500         0         0        183096
     5.100         0         0        183097
     4.700         0         0        183107
     4.600         0         0        183110
     4.600         0         0        183147
     4.900         0         0        183163
     4.500         0         0        183166
     5.100         0         0        183169
     4.600         0         0        183171
     4.700         0         0        183181
     4.600         0         0        183189
     4.700         0         0        183194
     4.500         0         0        183195
     4.600         0         0        183199
     4.700         0         0        183204
     4.700         0         0        183205
     4.800         0         0        183216
     4.800         0         0        183218
     4.900         0         0        183229
     4.700         0         0        183242
     5.000         0         0        183247
     4.800         0         0        183258
     4.900         0         0        183259
     4.700         0         0        183271
     4.500         0         0        183274
     4.500         0         0        183281
     4.500         0         0        183294
     4.800         0         0        183315
     4.600         0         0        183318
     4.700         0         0        183326
     4.600         0         0        183329
     4.600         0         0        183334
     4.600         0         0        183337
     4.800         0         0        183362
     4.500         0         0        183367
     4.600         0         0        183382
     4.600         0         0        183383
     5.200         0         0        183398
     4.600         0         0        183412
     4.700         0         0        183417
     4.700         0         0        183442
     4.700         0         0        183443
     6.000         0         0        183446
     4.500         0         0        183454
     4.700         0         0        183457
     4.800         0         0        183470
     4.500         0         0        183473
     4.500         0         0        183474
     5.000         0         0        183478
     4.600         0         0        183493
     4.900         0         0        183505
     4.500         0         0        183524
     4.700         0         0        183527
     4.700         0         0        183542
     5.100         0         0        183543
     5.000         0         0        183547
     5.000         0         0        183572
     4.600         0         0        183578
     4.900         0         0        183597
     4.700         0         0        183603
     4.500         0         0        183611
     4.800         0         0        183612
     4.700         0         0        183615
     5.400         0         0        183618
     4.900         0         0        183619
     4.600         0         0        183625
     4.600         0         0        183626
     4.500         0         0        183628
     5.200         0         0        183633
     4.500         0         0        183634
     4.500         0         0        183639
     4.900         0         0        183641
     4.700         0         0        183642
     4.800         0         0        183643
     4.500         0         0        183647
     4.700         0         0        183648
     4.600         0         0        183651
     5.400         0         0        183652
     4.700         0         0        183676
     4.700         0         0        183712
     5.000         0         0        183716
     4.700         0         0        183719
     4.900         0         0        183722
     4.800         0         0        183726
     4.700         0         0        183728
     4.500         0         0        183747
     4.800         0         0        183767
     4.500         0         0        183772
