# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     7.200      3374         0      16461282
     5.000         4         5      16410392
     4.900         0         3      16416024
     5.100         1         0      16460943
     4.000         0         0      16479864
     4.700         0         0     602443760
     4.500         0         0     602689103
     4.300         0         0      16459632
     4.400         0         0      16459637
     4.400         0         0      16475870
     4.800         0         0      16401601
     5.000         0         0      16402490
     4.500         0         0      17199493
     4.400         0         0      16499032
     4.600         0         0      16506158
     4.600         0         0      16404916
     4.900         0         0      16506197
     4.100         0         0      16506220
     4.800         0         0      16413335
     4.000         0         0      16577781
     4.400         0         0      16505323
     4.500         0         0      16427698
     4.300         0         0     600588141
     4.300         0         0      16631128
     4.200         0         0      16505422
     4.500         0         0      16505427
     4.400         0         0     602557577
     4.500         0         0      16447757
     4.900         0         0      16453019
     4.400         0         0      16707971
     4.300         0         0      16649421
     4.600         0         0      16460953
     4.700         0         0      16466101
     4.200         0         0      16577907
     4.200         0         0      16708393
     4.600         0         0      16501705
     5.100         0         0      16487926
     4.300         0         0      16708669
     5.000         0         0      16491561
     4.100         0         0      16578000
     4.300         0         0      16500354
     4.400         0         0      16578039
     4.800         0         0      16498405
