time,latitude,longitude,depth,mag,other_col1,other_col2
2011-03-11 05:47:32.800,37.52,143.05,20.0,9.1,val1,val2
2011-03-11 05:47:33.000,37.53,143.06,21.0,5.5,val3,val4
2011-03-11 05:47:34.000,37.54,143.07,22.0,6.0,val5,val6
2011-03-11 05:47:35.000,37.55,143.08,23.0,4.0,val7,val8
2011-03-11 05:47:36.000,37.56,143.09,24.0,3.0,val9,val10
2011-03-11 05:47:37.000,37.57,143.10,25.0,2.0,val11,val12
2011-03-11 05:47:38.000,37.58,143.11,26.0,1.0,val13,val14
2011-03-11 05:47:39.000,37.59,143.12,27.0,0.5,val15,val16
2011-03-11 05:47:40.000,37.60,143.13,28.0,0.1,val17,val18
2011-03-11 05:47:41.000,38.00,143.00,30.0,7.0,val19,val20
2011-03-11 05:47:42.000,38.10,143.10,31.0,8.0,val21,val22
2011-03-11 05:47:43.000,38.20,143.20,32.0,9.0,val23,val24
2011-03-11 05:47:44.000,38.30,143.30,33.0,10.0,val25,val26
2011-03-11 05:47:45.000,38.40,143.40,34.0,11.0,val27,val28
2011-03-11 05:47:46.000,38.50,143.50,35.0,12.0,val29,val30
